uid,latitude,longitude,date,usable
aabm,39.0803190688889,-86.4308666666667,2018-05-14,ok
aabn,36.5597,-121.51,2016-08-31,ko
aacd,35.8750832404158,-78.8784342810571,2020-11-19,ok
aaee,35.487,-79.0621329580003,2016-08-24,ok
aaff,38.04947082,-99.82700111,2019-07-23,ok
aafl,39.474744,-86.898353,2021-08-23,ok
aafp,35.6477424743416,-79.2717820986074,2017-11-15,ok
aagm,35.90688526381,-79.1329616264296,2020-06-10,ok
aahy,35.726521939921,-79.1254577750524,2014-08-12,ok
aaia,35.98,-78.7916861916675,2018-06-27,ok
aaie,35.8613251384981,-78.7683213767603,2013-11-06,ok
aaig,35.8962328282395,-79.0477049082042,2015-08-24,ok
aair,33.0426,-117.076,2014-11-01,ko
aajk,37.74668,-97.77936,2021-10-18,ok
aajw,40.703968,-80.29305,2015-08-26,ko
aalr,38.9725,-94.67293,2019-08-26,ko
aalw,34.279,-118.905,2018-01-08,ko
aamg,37.9718,-121.374,2015-08-18,ok
aamp,40.43393,-105.0334,2017-07-28,ko
aaoj,38.0201,-122.259,2015-07-07,ok
aaoy,35.79,-79.0263922532941,2018-06-13,ok
aapj,33.8892,-117.562,2018-01-09,ko
aaqc,37.3906,-120.958,2013-07-09,ok
aaqd,35.9075374537429,-79.1381814255046,2020-08-13,ok
aaqf,39.820323,-79.921575,2013-08-17,ko
aaql,38.691,-100.924,2018-08-13,ok
aaqq,36.6519,-120.632,2017-03-09,ok
aarj,36.115,-78.9087588280644,2013-07-29,ok
aarq,39.90293,-75.18015,2017-12-05,ok
aauw,35.703553467355,-79.1681192247916,2019-06-06,ok
aauy,36.313,-79.1149777897167,2020-02-26,ko
aava,40.82201,-77.46996,2018-04-11,ko
aavi,34.41,-78.3,2020-05-18,ko
aavk,41.292492,-80.45833,2016-07-20,ko
aaxb,35.7229289575381,-79.1321313506199,2018-08-27,ok
aaxc,34.446,-119.876,2020-03-18,ko
aaxe,37.2486,-120.851,2019-01-17,ok
aays,39.12106,-95.41118,2018-08-27,ko
abau,35.6822351052168,-79.207715773159,2016-06-21,ok
abbf,37.6003,-121.224,2015-01-13,ok
abbz,35.7154236165606,-79.1460717084721,2016-06-08,ok
abcg,37.4583,-120.967,2016-03-08,ok
abcx,38.0505,-121.418,2013-01-15,ok
abdc,36.9818,-120.221,2021-07-14,ko
abdk,35.7589,-105.1445,2017-06-19,ok
abdw,35.48,-76.82,2020-02-26,ko
abei,35.976,-78.7561418455852,2016-04-13,ok
aben,35.888158095737,-78.9830788244183,2019-07-02,ok
abeu,39.7533,-121.971,2019-05-22,ko
abhd,34.6721,-120.492,2014-02-28,ko
abin,35.8580331321702,-78.7419738195245,2014-07-15,ok
abit,48.97325,-100.3713,2017-08-01,ko
abjj,42.056766,-78.879216,2019-09-24,ok
abjq,34.9454,-120.417,2017-09-26,ko
abjr,36.7962,-121.782,2016-01-19,ko
abjx,38.1156,-121.494,2013-08-20,ok
abka,41.72506,-85.01198,2017-08-02,ok
abkx,36.3708,-119.429,2016-06-22,ko
abmo,35.8952700716719,-79.0399994905221,2015-06-10,ok
aboc,44.761667,-82.783333,2018-04-03,ok
abqi,35.6954359886381,-79.1831965621849,2016-04-06,ok
abqw,37.8717,-121.526,2016-05-17,ok
abrn,41.890646,-78.925275,2017-10-05,ok
absk,35.433,-80.1,2016-06-21,ko
absl,42.086392,-78.874325,2013-07-16,ok
abso,35.6500313371928,-79.2675307838014,2016-07-19,ok
absx,36.9128,-121.744,2014-12-03,ko
abua,44.736667,-86.721667,2016-08-05,ok
abui,37.1366,-120.762,2020-05-12,ok
abvn,41.693325,-80.07708,2015-09-25,ko
abvy,44.87109,-103.0033,2017-06-12,ok
abwl,44.0,-82.35,2017-03-31,ok
abxl,38.1602,-121.206,2019-03-19,ok
abzb,36.313,-79.1148294880374,2020-02-26,ko
abzk,39.21155,-97.00559,2017-08-28,ok
abzw,35.8640581248836,-78.7901948205032,2015-04-22,ok
acbt,39.3092,-121.595,2019-08-22,ok
accd,35.8668842812594,-78.8128139498283,2016-05-24,ok
acck,35.6937858782105,-79.1862614635567,2016-12-13,ok
acdj,37.3906,-120.958,2015-04-14,ok
acex,37.0062,-120.6,2021-07-14,ko
acgm,36.13,-79.0676695540267,2020-06-24,ok
acgx,35.6983636039131,-79.1777588339447,2014-07-22,ok
acix,37.3978,-120.96,2020-08-11,ok
acje,39.6242,-122.197,2018-06-20,ko
ackq,35.976,-78.7504249227888,2015-11-16,ok
ackx,47.62155,-89.463167,2017-08-25,ko
aclb,38.4831216812134,-75.1296916643778,2020-11-10,ok
acld,35.6425259962153,-79.2814711416536,2020-07-15,ok
aclj,44.868638,-93.524033,2013-09-23,ok
acmt,37.2583,-120.475,2013-02-12,ok
acoa,35.6843376652779,-79.2038104956047,2015-06-22,ok
acoz,35.6315873609609,-79.3017884717148,2015-05-06,ok
acpf,35.9136245597832,-79.1868995502048,2014-06-23,ok
acpk,37.82493334,-99.91665915,2021-08-16,ok
acqg,35.794,-79.019916413299,2016-09-20,ok
acqj,35.8594927953534,-78.7536562269781,2013-04-23,ok
acqu,35.4265,-118.832,2020-07-21,ko
acta,41.005131,-81.021802,2016-08-02,ko
actk,41.89424,-78.93875,2019-04-16,ok
actm,38.720200030009,-75.0800833304723,2017-08-21,ok
actx,36.8739,-121.745,2020-04-29,ko
acuf,41.964856,-110.654119,2018-08-22,ok
acwc,39.61525,-84.9661444444445,2020-08-25,ko
acwk,35.9086244369644,-79.1468810906296,2021-04-28,ok
acwm,34.942,-120.557,2013-05-28,ko
acwx,37.1366,-120.762,2015-01-13,ok
acwy,47.62155,-89.463167,2018-05-13,ko
acxn,37.2343,-121.87,2015-02-06,ok
acyg,35.79,-79.0323243204653,2020-03-11,ok
acyi,44.878889,-93.490833,2013-06-18,ok
acyk,35.61,-78.9969982886183,2021-05-18,ok
acyl,35.724845214809,-79.1285721103172,2018-08-06,ok
aczv,35.6448680884353,-79.2771209590615,2019-07-02,ok
aczx,35.62476,-78.7111521487958,2016-06-22,ok
adau,44.14,-87.233333,2016-08-05,ok
addj,41.726667,-83.15,2018-04-07,ko
adef,35.742,-79.2289065046657,2016-05-24,ok
adfl,35.8621947250753,-78.7752811088603,2014-05-19,ok
